Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Саранча,2013,118.0,['триллер'],6.454,5.8,0.0,28.5714,76847,719,0,7,112164013.0,2015-11-05T00:00:00.000Z,2016-05-03T00:00:00.000Z,476015.0
Ноттинг Хилл,1999,124.0,"['драма', 'мелодрама', 'комедия']",7.269,7.2,7.1,0.0,76824,360368,106,1,42000000.0,1999-12-22T00:00:00.000Z,1999-04-27T00:00:00.000Z,363889678.0
Чучело,1983,127.0,['драма'],7.952,7.7,0.0,0.0,76745,1938,0,0,112164013.0,1984-09-14T00:00:00.000Z,1984-09-14T00:00:00.000Z,112164013.0
Большая гонка. Ауди против Лянчи,2024,109.0,"['спорт', 'драма', 'биография']",6.769,5.8,5.3,0.0,76677,4591,14,2,112164013.0,2024-01-18T00:00:00.000Z,2024-01-05T00:00:00.000Z,2151772.0
Лимб,2013,97.0,"['ужасы', 'фэнтези', 'триллер', 'детектив']",6.143,5.9,5.1,57.1429,76668,19225,37,7,112164013.0,2013-09-12T00:00:00.000Z,2013-03-09T00:00:00.000Z,1489366.0
Знаки,2002,106.0,"['фантастика', 'триллер', 'драма', 'детектив']",6.965,6.8,6.9,0.0,76496,398748,241,0,72000000.0,2002-10-17T00:00:00.000Z,2002-07-29T00:00:00.000Z,408247917.0
Бунтарка,2006,103.0,"['драма', 'комедия', 'спорт']",7.106,6.4,5.0,0.0,76409,31097,96,0,112164013.0,2006-07-13T00:00:00.000Z,2006-04-21T00:00:00.000Z,31976848.0
Любовь и монстры,2020,109.0,"['комедия', 'фантастика', 'боевик', 'приключения']",6.746,6.9,7.3,0.0,76383,151592,116,2,30000000.0,2020-10-16T00:00:00.000Z,2020-10-16T00:00:00.000Z,1070714.0
21 грамм,2003,125.0,"['триллер', 'драма', 'криминал']",7.77,7.6,7.5,0.0,76367,249139,178,1,20000000.0,2004-03-18T00:00:00.000Z,2003-09-05T00:00:00.000Z,60427839.0
Рождество кота Боба,2020,92.0,"['драма', 'семейный']",7.796,6.4,6.0,0.0,76354,2889,19,1,112164013.0,2020-12-24T00:00:00.000Z,2020-11-06T00:00:00.000Z,1579580.0
Лара Крофт: Расхитительница гробниц 2 – Колыбель жизни,2003,117.0,"['фэнтези', 'боевик', 'приключения']",6.604,5.5,4.6,0.0,76339,147796,174,0,95000000.0,2003-08-07T00:00:00.000Z,2003-07-21T00:00:00.000Z,156505388.0
Судья Дредд,1995,95.0,"['фантастика', 'боевик', 'триллер', 'криминал']",6.918,5.6,4.0,0.0,76280,127747,53,1,90000000.0,1995-06-30T00:00:00.000Z,1995-06-30T00:00:00.000Z,113493481.0
"Куда ты пропала, Бернадетт?",2019,109.0,"['драма', 'комедия', 'криминал', 'детектив']",7.258,6.5,5.8,0.0,76245,26427,195,0,20000000.0,2019-09-05T00:00:00.000Z,2019-08-16T00:00:00.000Z,11025353.0
Танцующая в темноте,2000,140.0,"['мюзикл', 'драма', 'криминал']",7.989,7.9,6.8,0.0,76227,119704,122,2,12800000.0,2000-09-28T00:00:00.000Z,2000-05-17T00:00:00.000Z,40031879.0
Пила 4,2007,88.0,"['ужасы', 'триллер', 'детектив', 'криминал']",6.877,5.9,3.9,0.0,76124,170282,83,1,10000000.0,2007-11-29T00:00:00.000Z,2007-10-25T00:00:00.000Z,139352633.0
Черная месса,2015,123.0,"['драма', 'криминал', 'биография']",6.593,6.8,6.7,56.0,76069,196951,290,25,53000000.0,2015-10-29T00:00:00.000Z,2015-09-04T00:00:00.000Z,99775678.0
Злое,2021,111.0,"['ужасы', 'детектив']",6.328,6.2,6.3,57.1429,76063,115825,179,7,40000000.0,2021-09-09T00:00:00.000Z,2021-09-01T00:00:00.000Z,34891791.0
Знахарь,1981,133.0,"['драма', 'мелодрама']",8.168,7.8,0.0,0.0,76043,3785,0,0,112164013.0,1982-04-12T00:00:00.000Z,1982-04-12T00:00:00.000Z,112164013.0
Королевский роман,2012,137.0,"['драма', 'мелодрама', 'биография', 'история']",7.597,7.5,7.3,0.0,76040,52305,111,0,112164013.0,2012-02-16T00:00:00.000Z,2012-02-16T00:00:00.000Z,14758997.0
Три девятки,2015,115.0,"['криминал', 'драма', 'триллер']",6.261,6.3,5.8,75.0,76003,78034,188,4,20000000.0,2016-03-03T00:00:00.000Z,2016-02-16T00:00:00.000Z,23177948.0
Вавилон,2006,143.0,['драма'],7.562,7.5,6.8,66.6667,75995,322400,203,3,25000000.0,2007-02-01T00:00:00.000Z,2006-05-23T00:00:00.000Z,135330182.0
Жизнь Адель,2013,179.0,"['драма', 'мелодрама']",7.012,7.7,8.2,84.8485,75962,167527,204,33,4360000.0,2013-11-07T00:00:00.000Z,2013-05-23T00:00:00.000Z,19796489.0
Серена,2014,109.0,"['драма', 'мелодрама', 'история']",6.288,5.4,4.3,71.4286,75947,31083,112,7,30000000.0,2014-10-30T00:00:00.000Z,2014-10-13T00:00:00.000Z,5092129.0
Джунгли. Райский переполох,2023,96.0,['комедия'],6.581,5.1,0.0,0.0,75912,318,0,0,112164013.0,2023-02-02T00:00:00.000Z,2023-02-02T00:00:00.000Z,2601250.0
Один вдох,2020,100.0,"['драма', 'спорт']",7.393,6.4,0.0,66.6667,75884,478,0,3,1440000.0,2020-03-05T00:00:00.000Z,2020-03-05T00:00:00.000Z,644262.0
Республика ШКИД,1966,103.0,"['драма', 'комедия', 'семейный']",8.265,7.8,0.0,0.0,75875,1221,0,0,112164013.0,1966-12-29T00:00:00.000Z,1966-12-29T00:00:00.000Z,112164013.0
Чемпион из Освенцима,2020,91.0,"['биография', 'военный', 'спорт', 'история', 'драма']",7.487,6.7,0.0,0.0,75869,2150,0,1,112164013.0,2022-01-27T00:00:00.000Z,2020-12-08T00:00:00.000Z,43663.0
Кровавый четверг,1998,87.0,"['боевик', 'триллер', 'драма', 'комедия', 'криминал', 'детектив']",7.852,7.1,5.1,0.0,75859,20696,7,0,112164013.0,1998-09-10T00:00:00.000Z,1998-09-10T00:00:00.000Z,3121.0
Жанна Дюбарри,2023,117.0,"['драма', 'биография', 'история']",7.129,6.7,5.3,71.4286,75798,14507,84,7,22400000.0,2023-07-20T00:00:00.000Z,2023-05-16T00:00:00.000Z,13564190.0
"Ананасовый экспресс: Сижу, курю",2008,114.0,"['боевик', 'комедия', 'криминал']",6.711,6.9,6.3,75.0,75751,363576,200,4,27000000.0,2008-12-04T00:00:00.000Z,2008-07-31T00:00:00.000Z,101624843.0
Взрыв из прошлого,1998,112.0,"['комедия', 'мелодрама', 'фантастика']",7.607,6.7,6.1,0.0,75744,73849,81,0,35000000.0,1999-12-09T00:00:00.000Z,1999-01-27T00:00:00.000Z,40263020.0
"Здравствуйте, я ваша тетя!",1975,98.0,['комедия'],7.936,7.4,0.0,0.0,75727,1895,0,0,112164013.0,1975-12-26T00:00:00.000Z,1975-12-26T00:00:00.000Z,112164013.0
Астрал 4: Последний ключ,2018,103.0,['ужасы'],5.776,5.7,5.2,25.0,75615,75049,110,4,10000000.0,2018-01-18T00:00:00.000Z,2018-01-03T00:00:00.000Z,167885588.0
Жена смотрителя зоопарка,2017,127.0,"['драма', 'военный', 'биография', 'история']",7.407,7.0,6.2,100.0,75372,47916,180,7,20000000.0,2017-04-13T00:00:00.000Z,2017-03-07T00:00:00.000Z,26152835.0
Никто не выжил,2012,86.0,"['триллер', 'ужасы']",6.225,6.0,4.7,0.0,75323,25529,39,1,2900000.0,2013-04-18T00:00:00.000Z,2012-09-08T00:00:00.000Z,1048704.0
Служебный роман. Наше время,2011,90.0,"['мелодрама', 'комедия']",4.063,4.9,0.0,0.0,75278,3914,0,3,5000000.0,2011-03-17T00:00:00.000Z,2011-03-17T00:00:00.000Z,14650000.0
Девятая,2019,99.0,"['детектив', 'триллер', 'криминал']",6.738,5.4,0.0,16.6667,75255,1300,0,12,5444455.992000001,2019-11-07T00:00:00.000Z,2019-11-08T00:00:00.000Z,958558.0
Парк Юрского периода 3,2001,92.0,"['фантастика', 'боевик', 'триллер', 'приключения']",6.679,5.9,5.3,0.0,75243,349701,188,0,93000000.0,2001-08-23T00:00:00.000Z,2001-07-16T00:00:00.000Z,368780809.0
Цветы войны,2011,146.0,"['военный', 'боевик', 'драма', 'история']",7.933,7.5,5.6,84.6154,75211,56837,58,13,94000000.0,2012-08-02T00:00:00.000Z,2011-12-11T00:00:00.000Z,95311434.0
Четвёртый вид,2009,98.0,"['ужасы', 'фантастика', 'триллер', 'детектив']",6.244,5.9,4.0,16.6667,75193,83619,114,6,10000000.0,2010-03-11T00:00:00.000Z,2009-10-24T00:00:00.000Z,47709193.0
Человек-слон,1980,125.0,"['драма', 'биография']",8.11,8.2,8.5,0.0,75108,269745,64,0,5000000.0,1980-10-02T00:00:00.000Z,1980-10-02T00:00:00.000Z,26020641.0
Полночь с дьяволом,2023,93.0,['ужасы'],6.201,7.0,7.8,90.0,75050,118829,234,10,112164013.0,2024-06-06T00:00:00.000Z,2023-03-10T00:00:00.000Z,15469415.0
Живой,2006,98.0,"['драма', 'детектив', 'военный']",7.06,6.4,0.0,50.0,75035,841,0,4,112164013.0,2006-09-21T00:00:00.000Z,2006-09-21T00:00:00.000Z,3216061.0
Человек на Луне,2018,141.0,"['драма', 'биография', 'история']",7.082,7.3,8.1,83.3333,75034,208679,463,24,59000000.0,2018-10-11T00:00:00.000Z,2018-08-29T00:00:00.000Z,105697415.0
Великая ирония,2023,93.0,"['мелодрама', 'триллер', 'драма', 'комедия']",6.804,6.4,7.0,100.0,75015,9714,89,6,112164013.0,2023-09-28T00:00:00.000Z,2023-09-04T00:00:00.000Z,7837847.0
Я – Сэм,2001,132.0,['драма'],7.997,7.6,4.7,0.0,74945,157812,145,0,22000000.0,2001-12-03T00:00:00.000Z,2001-12-03T00:00:00.000Z,97818139.0
Ведьма,2015,92.0,['ужасы'],6.636,7.0,7.8,100.0,74939,326605,337,4,3500000.0,2015-01-23T00:00:00.000Z,2015-01-23T00:00:00.000Z,40423945.0
Снеговик,2017,119.0,"['детектив', 'триллер', 'драма', 'криминал']",5.759,5.2,3.2,23.0769,74887,74890,197,13,35000000.0,2017-11-23T00:00:00.000Z,2017-10-07T00:00:00.000Z,43084060.0
Пила 5,2008,92.0,"['ужасы', 'триллер', 'детектив', 'криминал']",6.844,5.8,3.1,0.0,74872,142547,76,0,10800000.0,2008-10-30T00:00:00.000Z,2008-10-23T00:00:00.000Z,113857533.0
Принц из рая,2023,90.0,"['мелодрама', 'комедия']",6.654,6.4,0.0,0.0,74855,1282,0,0,112164013.0,2023-01-07T00:00:00.000Z,2023-01-07T00:00:00.000Z,5445.0
Красная жара,1988,106.0,"['боевик', 'триллер', 'комедия', 'криминал', 'детектив']",6.754,6.1,5.5,0.0,74845,78223,27,0,29000000.0,1988-06-14T00:00:00.000Z,1988-06-14T00:00:00.000Z,34994648.0
Жизнь задом наперед,2007,92.0,['драма'],7.768,7.6,0.0,0.0,74838,14869,0,0,112164013.0,2007-09-23T00:00:00.000Z,2007-09-23T00:00:00.000Z,112164013.0
Сделка с дьяволом,2006,97.0,"['ужасы', 'фэнтези', 'боевик', 'триллер', 'детектив', 'приключения']",6.775,5.2,2.9,33.3333,74826,53381,76,6,20000000.0,2006-09-07T00:00:00.000Z,2006-09-07T00:00:00.000Z,37597471.0
"Мама, я дома",2021,104.0,['драма'],6.873,6.7,0.0,0.0,74811,330,0,0,112164013.0,2021-09-09T00:00:00.000Z,2021-09-09T00:00:00.000Z,11146.0
Одиноким предоставляется общежитие,1983,89.0,"['мелодрама', 'комедия']",8.077,6.8,0.0,0.0,74790,428,0,0,112164013.0,1984-01-02T00:00:00.000Z,1984-01-02T00:00:00.000Z,112164013.0
"Париж, я люблю тебя",2006,120.0,"['мелодрама', 'комедия']",7.542,7.2,7.1,0.0,74765,75293,111,1,112164013.0,2006-11-30T00:00:00.000Z,2006-05-18T00:00:00.000Z,17471727.0
Яга. Кошмар тёмного леса,2020,97.0,"['ужасы', 'фэнтези']",5.616,4.7,0.0,0.0,74594,2147,0,2,112164013.0,2020-02-27T00:00:00.000Z,2020-03-01T00:00:00.000Z,1398488.0
Астерикс и Обеликс в Британии,2012,110.0,"['комедия', 'приключения', 'семейный']",5.743,5.3,0.0,75.0,74590,17200,0,4,65400000.00000001,2012-10-25T00:00:00.000Z,2012-10-06T00:00:00.000Z,60700000.0
В осаде,1992,103.0,"['боевик', 'триллер']",7.321,6.5,6.5,0.0,74545,98452,29,0,35000000.0,1994-05-01T00:00:00.000Z,1992-10-09T00:00:00.000Z,156563139.0
Форсаж 10,2023,141.0,"['боевик', 'криминал']",5.982,5.7,5.7,0.0,74538,132017,315,2,340000000.0,2023-05-12T00:00:00.000Z,2023-05-12T00:00:00.000Z,704875015.0
Космос между нами,2016,120.0,"['фантастика', 'драма', 'мелодрама']",6.673,6.4,4.3,0.0,74535,57136,135,4,30000000.0,2017-02-02T00:00:00.000Z,2017-02-01T00:00:00.000Z,16080475.0
"Привет, Джули!",2010,90.0,"['драма', 'мелодрама', 'комедия']",7.849,7.7,6.0,0.0,74516,101405,76,0,14000000.0,2010-07-26T00:00:00.000Z,2010-07-26T00:00:00.000Z,1755212.0
Белые росы,1983,84.0,"['драма', 'мелодрама', 'комедия']",8.215,7.5,0.0,0.0,74509,679,0,0,112164013.0,1984-04-09T00:00:00.000Z,1984-04-09T00:00:00.000Z,112164013.0
Близнецы,1988,107.0,"['комедия', 'криминал']",7.206,6.2,4.8,0.0,74508,141522,43,0,15000000.0,1988-12-08T00:00:00.000Z,1988-12-08T00:00:00.000Z,216614388.0
Елена,2011,109.0,"['драма', 'мелодрама']",7.23,7.3,0.0,100.0,74473,15512,0,10,112164013.0,2011-09-29T00:00:00.000Z,2011-05-21T00:00:00.000Z,2227905.0
Бегущий человек,1987,101.0,"['фантастика', 'боевик', 'триллер']",7.13,6.6,5.6,0.0,74423,173403,47,0,27000000.0,2001-10-09T00:00:00.000Z,1987-11-13T00:00:00.000Z,38122105.0
Земля: Один потрясающий день,2017,95.0,"['документальный', 'семейный']",8.978,7.8,6.7,0.0,74386,3192,21,1,112164013.0,2018-03-22T00:00:00.000Z,2017-08-11T00:00:00.000Z,12851540.0
"С любовью, Саймон",2018,110.0,"['драма', 'мелодрама', 'комедия']",7.315,7.5,7.5,0.0,74352,129582,238,1,112164013.0,2018-02-27T00:00:00.000Z,2018-02-27T00:00:00.000Z,66316289.0
Сорвиголова,2003,103.0,"['боевик', 'криминал', 'фантастика']",6.129,5.3,5.1,50.0,74345,233963,228,4,78000000.0,2003-03-13T00:00:00.000Z,2003-02-09T00:00:00.000Z,179179718.0
Манкимэн,2024,121.0,"['боевик', 'триллер', 'криминал', 'драма']",6.624,6.8,7.2,100.0,74318,89671,303,9,112164013.0,2024-04-11T00:00:00.000Z,2024-03-11T00:00:00.000Z,35271631.0
Сенсация,2006,96.0,"['фэнтези', 'комедия', 'криминал', 'детектив']",7.128,6.6,5.4,0.0,74293,88830,147,1,4000000.0,2006-11-02T00:00:00.000Z,2006-07-26T00:00:00.000Z,39215642.0
Голубая лагуна,1980,104.0,"['драма', 'мелодрама', 'приключения']",7.098,5.8,3.3,0.0,74292,79783,26,1,4500000.0,1980-06-19T00:00:00.000Z,1980-06-19T00:00:00.000Z,58853106.0
Ип Ман 3,2015,105.0,"['биография', 'боевик', 'драма']",7.354,7.0,6.3,0.0,74282,61870,52,0,36000000.0,2015-12-16T00:00:00.000Z,2015-12-16T00:00:00.000Z,156954938.0
"Ну, здравствуй, Оксана Соколова!",2018,99.0,['комедия'],6.34,5.1,0.0,80.0,74271,225,0,5,112164013.0,2018-03-08T00:00:00.000Z,2018-03-16T00:00:00.000Z,1383204.0
Неистовый,2020,90.0,"['боевик', 'триллер']",6.337,6.0,5.3,73.6842,74209,82541,206,19,33000000.0,2020-08-06T00:00:00.000Z,2020-07-16T00:00:00.000Z,44331465.0
Клаустрофобы: Квест в Москве,2020,91.0,"['ужасы', 'триллер']",5.88,5.4,4.7,0.0,74173,13633,13,0,112164013.0,2020-09-24T00:00:00.000Z,2020-07-11T00:00:00.000Z,4377394.0
Вавилон,2022,189.0,"['драма', 'комедия']",7.446,7.1,6.4,0.0,74131,190764,363,2,78000000.0,2022-12-15T00:00:00.000Z,2022-12-15T00:00:00.000Z,65267446.0
Погребальные байки,2019,110.0,"['ужасы', 'фэнтези', 'комедия']",6.421,6.4,7.7,0.0,74112,15263,65,0,112164013.0,2020-10-08T00:00:00.000Z,2019-09-21T00:00:00.000Z,107629.0
Убийства по открыткам,2020,91.0,"['триллер', 'детектив', 'криминал', 'драма']",6.268,5.8,4.2,0.0,74068,17441,23,1,112164013.0,2020-08-13T00:00:00.000Z,2020-03-13T00:00:00.000Z,181415.0
Антихрист,2009,108.0,"['ужасы', 'триллер', 'драма']",6.654,6.5,5.6,100.0,74001,140047,178,3,11000000.0,2009-07-02T00:00:00.000Z,2009-05-18T00:00:00.000Z,6983220.0
Воспоминания убийцы,2017,118.0,"['триллер', 'детектив', 'драма', 'криминал']",7.225,7.2,0.0,0.0,73980,13695,0,0,112164013.0,2017-09-06T00:00:00.000Z,2017-09-06T00:00:00.000Z,19482542.0
Варяг,2022,137.0,"['фэнтези', 'боевик', 'драма']",6.739,7.0,7.7,50.0,73951,275621,383,4,90000000.0,2022-04-01T00:00:00.000Z,2022-04-01T00:00:00.000Z,69633110.0
Носители,2008,85.0,"['фантастика', 'боевик', 'триллер', 'драма', 'приключения', 'ужасы']",6.058,6.0,5.7,0.0,73942,51291,37,1,112164013.0,2009-11-26T00:00:00.000Z,2009-08-18T00:00:00.000Z,5802422.0
"Крепкий орешек: Хороший день, чтобы умереть",2013,101.0,"['боевик', 'триллер']",4.907,5.2,4.0,12.5,73941,218508,229,16,92000000.0,2013-02-14T00:00:00.000Z,2013-02-06T00:00:00.000Z,304654182.0
Смокинг,2002,98.0,"['фантастика', 'боевик', 'комедия']",6.907,5.4,4.4,0.0,73851,90615,135,0,60000000.0,2002-11-14T00:00:00.000Z,2002-09-19T00:00:00.000Z,104391623.0
Посылка,2009,115.0,"['триллер', 'драма', 'детектив']",6.142,5.6,5.1,0.0,73838,96568,153,1,30000000.0,2009-11-19T00:00:00.000Z,2009-09-17T00:00:00.000Z,33333531.0
"Огонь, вода и ... медные трубы",1967,86.0,"['фэнтези', 'приключения', 'семейный', 'мелодрама']",7.977,7.0,0.0,0.0,73779,886,0,0,112164013.0,1968-12-13T00:00:00.000Z,1968-12-13T00:00:00.000Z,112164013.0
Тихий омут,2021,139.0,"['триллер', 'драма', 'криминал', 'детектив']",6.746,6.6,6.6,0.0,73755,61048,198,1,112164013.0,2021-07-08T00:00:00.000Z,2021-07-08T00:00:00.000Z,19754272.0
Бруно,2009,81.0,['комедия'],5.829,5.9,6.3,0.0,73734,155877,227,0,42000000.0,2009-07-23T00:00:00.000Z,2009-06-25T00:00:00.000Z,138805831.0
Фея,2019,152.0,"['драма', 'фантастика', 'триллер']",6.822,5.8,0.0,65.0,73688,615,0,20,1489099.8,2020-08-01T00:00:00.000Z,2020-09-18T00:00:00.000Z,11324.0
Эспен в поисках Золотого замка,2019,99.0,"['фэнтези', 'приключения', 'семейный']",7.056,6.3,0.0,0.0,73660,1728,0,0,112164013.0,2019-12-05T00:00:00.000Z,2019-08-18T00:00:00.000Z,2996763.0
Голос монстра,2016,108.0,"['фэнтези', 'драма']",7.407,7.4,7.6,100.0,73657,95910,265,13,43000000.0,2017-02-02T00:00:00.000Z,2016-09-09T00:00:00.000Z,47309313.0
Superнянь 2,2015,93.0,['комедия'],7.044,6.4,0.0,0.0,73623,7835,0,1,112164013.0,2015-12-03T00:00:00.000Z,2015-10-14T00:00:00.000Z,24563629.0
Носферату,2024,132.0,"['ужасы', 'мелодрама']",6.544,7.3,8.0,84.2105,73602,174658,351,19,50000000.0,2024-11-07T00:00:00.000Z,2024-11-07T00:00:00.000Z,179627570.0
Звезда,2002,97.0,"['боевик', 'драма', 'приключения', 'военный', 'история']",7.863,6.9,0.0,0.0,73591,2868,0,1,1300000.0,2002-05-06T00:00:00.000Z,2002-07-11T00:00:00.000Z,112164013.0
Усатый нянь,1977,75.0,"['комедия', 'семейный']",8.016,7.1,0.0,0.0,73537,513,0,0,112164013.0,1978-10-01T00:00:00.000Z,1978-10-01T00:00:00.000Z,112164013.0
Ужасающий,2016,85.0,['ужасы'],5.833,5.5,6.0,0.0,73531,80728,26,1,35000.0,2022-09-29T00:00:00.000Z,2016-10-15T00:00:00.000Z,419043.0
Час истины,2020,115.0,"['ужасы', 'боевик', 'триллер', 'криминал']",6.684,5.7,4.3,0.0,73522,12565,15,0,112164013.0,2020-02-28T00:00:00.000Z,2020-02-28T00:00:00.000Z,112164013.0
Запретное царство,2008,100.0,"['фэнтези', 'боевик', 'приключения']",7.152,6.5,6.0,66.6667,73382,111087,128,3,55000000.0,2008-04-24T00:00:00.000Z,2008-04-04T00:00:00.000Z,127980002.0
"Жизнь, как она есть",2010,115.0,"['драма', 'мелодрама', 'комедия']",7.449,6.5,4.6,0.0,73380,141317,152,1,38000000.0,2010-10-14T00:00:00.000Z,2010-10-02T00:00:00.000Z,105648706.0
Друзья: Воссоединение,2021,104.0,"['документальный', 'биография', 'комедия']",8.46,8.0,6.4,62.5,73346,66501,58,16,112164013.0,2021-05-27T00:00:00.000Z,2021-05-27T00:00:00.000Z,112164013.0
Дом на глубине,2021,82.0,['ужасы'],5.588,5.3,6.0,0.0,73312,18395,18,0,112164013.0,2021-06-18T00:00:00.000Z,2021-06-18T00:00:00.000Z,1899068.0
Очень страшное кино 5,2013,88.0,['комедия'],4.304,3.6,2.3,27.2727,73278,79634,50,11,20000000.0,2013-04-25T00:00:00.000Z,2013-04-11T00:00:00.000Z,78378744.0
Великая красота,2013,141.0,"['драма', 'комедия']",7.757,7.7,8.0,68.0,73267,101251,135,25,112164013.0,2013-10-10T00:00:00.000Z,2013-05-21T00:00:00.000Z,24582838.0
Тебе конец!,2013,94.0,"['триллер', 'ужасы']",6.24,6.6,6.6,90.0,73193,114398,161,10,1000000.0,2013-08-29T00:00:00.000Z,2011-09-10T00:00:00.000Z,26895481.0
Домашнее видео,2014,94.0,"['мелодрама', 'комедия']",5.58,5.1,4.1,46.1538,73179,120108,155,13,40000000.0,2014-07-24T00:00:00.000Z,2014-07-16T00:00:00.000Z,126069509.0
Дети шпионов 4D,2011,89.0,"['фантастика', 'боевик', 'комедия', 'приключения', 'семейный', 'криминал']",3.735,3.6,3.9,33.3333,73176,29270,60,3,27000000.0,2011-08-18T00:00:00.000Z,2011-08-18T00:00:00.000Z,85564310.0
Бывшая с того света,2020,99.0,"['комедия', 'фэнтези', 'мелодрама']",6.54,5.4,4.7,0.0,73139,8990,79,1,112164013.0,2021-01-28T00:00:00.000Z,2020-10-08T00:00:00.000Z,964832.0
Джейн Остин,2006,120.0,"['драма', 'мелодрама', 'биография']",7.833,7.0,6.0,0.0,73043,65432,141,0,16500000.0,2007-10-04T00:00:00.000Z,2007-03-02T00:00:00.000Z,37311672.0
Страшные сказки,2015,135.0,"['ужасы', 'фэнтези', 'драма']",6.438,6.4,7.1,100.0,73009,32093,104,9,13080000.000000002,2015-09-10T00:00:00.000Z,2015-05-14T00:00:00.000Z,5497104.0
Тринадцатый этаж,1999,100.0,"['фантастика', 'триллер', 'детектив']",7.581,7.0,4.5,0.0,72961,79313,64,0,16000000.0,1999-05-27T00:00:00.000Z,1999-04-16T00:00:00.000Z,18564088.0
Хантер Киллер,2018,121.0,"['боевик', 'триллер']",6.368,6.6,4.8,0.0,72897,77002,115,1,40000000.0,2018-11-08T00:00:00.000Z,2018-03-30T00:00:00.000Z,31672678.0
Сказка о потерянном времени,1964,85.0,"['фэнтези', 'комедия', 'семейный']",8.056,7.1,0.0,0.0,72863,679,0,0,112164013.0,1964-08-27T00:00:00.000Z,1964-08-27T00:00:00.000Z,112164013.0
Король вечеринок,2001,92.0,"['мелодрама', 'комедия']",7.009,6.4,3.7,0.0,72855,116643,98,0,5000000.0,2002-08-06T00:00:00.000Z,2002-04-04T00:00:00.000Z,38275483.0
Секс в большом городе 2,2010,146.0,"['драма', 'мелодрама', 'комедия']",6.227,4.5,3.9,0.0,72848,85911,217,2,100000000.0,2010-06-03T00:00:00.000Z,2010-05-27T00:00:00.000Z,288347692.0
Пила 3D,2010,91.0,"['ужасы', 'триллер', 'детектив', 'криминал']",6.608,5.5,3.5,0.0,72774,113483,81,1,20000000.0,2010-10-28T00:00:00.000Z,2010-10-22T00:00:00.000Z,136150434.0
Бриллиантовый полицейский,1999,93.0,"['боевик', 'триллер', 'комедия', 'криминал']",7.582,6.4,4.8,0.0,72752,90946,68,0,36000000.0,1999-10-28T00:00:00.000Z,1999-09-17T00:00:00.000Z,117758500.0
Молчание ангелов,2023,94.0,"['триллер', 'криминал']",6.393,5.3,0.0,0.0,72727,2493,0,0,112164013.0,2023-08-31T00:00:00.000Z,2023-06-08T00:00:00.000Z,77350.0
Рэмбо: Первая кровь 2,1985,94.0,"['боевик', 'триллер', 'приключения']",6.717,6.5,4.7,0.0,72714,187908,45,0,44000000.0,1995-07-01T00:00:00.000Z,1985-05-22T00:00:00.000Z,300400432.0
Свадьба лучшего друга,1997,105.0,"['комедия', 'мелодрама']",7.233,6.4,6.5,0.0,72693,160108,62,0,38000000.0,1997-11-28T00:00:00.000Z,1997-06-20T00:00:00.000Z,299288605.0
"Дед, привет!",2018,118.0,"['драма', 'комедия']",7.797,7.1,0.0,0.0,72691,1321,0,0,1962000.0000000002,2018-08-24T00:00:00.000Z,2018-08-24T00:00:00.000Z,112164013.0
Мушкетёры,2011,110.0,"['боевик', 'приключения']",6.059,5.7,4.2,55.5556,72504,113536,97,9,75000000.0,2011-10-13T00:00:00.000Z,2011-09-01T00:00:00.000Z,136714484.0
Идеальный дворец Фердинанда Шеваля,2017,105.0,"['драма', 'биография']",7.999,7.1,0.0,0.0,72501,1547,0,0,112164013.0,2018-09-24T00:00:00.000Z,2018-09-24T00:00:00.000Z,6081436.0
Дьявол всегда здесь,2020,138.0,"['триллер', 'драма', 'криминал']",7.068,7.1,6.4,87.5,72481,160181,218,8,112164013.0,2020-09-10T00:00:00.000Z,2020-09-10T00:00:00.000Z,112164013.0
День Святого Валентина,2010,125.0,"['мелодрама', 'комедия']",6.723,5.7,4.0,75.0,72469,127165,188,4,52000000.0,2010-02-11T00:00:00.000Z,2010-02-05T00:00:00.000Z,216485654.0
Выжить в Калахари,2024,86.0,"['боевик', 'триллер']",5.631,3.7,0.0,0.0,72460,3171,0,0,112164013.0,2024-05-02T00:00:00.000Z,2024-03-15T00:00:00.000Z,51163.0
Необратимость,2002,99.0,"['триллер', 'драма', 'криминал', 'детектив', 'мелодрама']",7.121,7.3,6.1,0.0,72437,153401,127,0,112164013.0,2003-01-30T00:00:00.000Z,2002-05-22T00:00:00.000Z,6479442.0
Поколение Вояджер,2020,108.0,"['фантастика', 'драма', 'триллер']",6.191,5.5,4.9,40.0,72416,28566,143,5,29000000.0,2021-04-22T00:00:00.000Z,2021-04-08T00:00:00.000Z,4298184.0
Репортаж,2007,75.0,"['ужасы', 'триллер', 'детектив']",6.984,7.4,7.5,0.0,72369,205235,41,0,1635000.0000000002,2008-03-27T00:00:00.000Z,2007-08-29T00:00:00.000Z,30448914.0
Универсальный солдат,1992,102.0,"['фантастика', 'боевик']",7.037,6.1,4.5,0.0,72333,98309,35,0,23000000.0,1993-08-23T00:00:00.000Z,1992-07-07T00:00:00.000Z,36299898.0
