Название,Год выпуска,Длительность,Жанры,Рейтинг КиноПоиск,Рейтинг IMDB,Рейтинг кинокритиков,Рейтинг российских кинокритиков,Голоса КиноПоиск,Голоса IMDB,Голоса кинокритиков,Голоса российских кинокритиков,Бюджет,Дата премьеры в России,Дата премьеры в мире,Мировые кассовые сборы
Солист,2009,117.0,"['драма', 'биография', 'музыка']",7.176,6.7,6.0,0.0,33498,55924,203,0,60000000.0,2009-04-20T00:00:00.000Z,2009-04-20T00:00:00.000Z,38000501.0
Глотай,2019,94.0,"['триллер', 'драма']",6.182,6.5,7.4,0.0,33495,30145,138,2,112164013.0,2019-04-28T00:00:00.000Z,2019-04-28T00:00:00.000Z,274674.0
Не дыши: Игра на выживание,2022,89.0,"['ужасы', 'триллер']",5.329,5.0,0.0,0.0,33483,619,0,0,112164013.0,2023-05-04T00:00:00.000Z,2022-10-08T00:00:00.000Z,63830.0
Эд Вуд,1994,127.0,"['драма', 'комедия', 'биография']",7.576,7.8,8.0,0.0,33481,187215,75,0,18000000.0,1994-09-24T00:00:00.000Z,1994-09-24T00:00:00.000Z,5887457.0
Маленькие чудовища,2019,93.0,"['ужасы', 'фантастика', 'комедия']",6.356,6.3,6.7,80.0,33471,20334,131,5,112164013.0,2019-10-10T00:00:00.000Z,2019-01-27T00:00:00.000Z,425155.0
Убить Билла: Кровавое дело целиком,2006,247.0,"['боевик', 'триллер', 'криминал']",8.211,8.7,0.0,0.0,33471,18147,0,0,112164013.0,2011-03-27T00:00:00.000Z,2011-03-27T00:00:00.000Z,112164013.0
Защитник,2015,123.0,"['драма', 'биография', 'спорт']",6.791,7.1,6.0,0.0,33464,102555,204,1,35000000.0,2015-11-10T00:00:00.000Z,2015-11-10T00:00:00.000Z,48623572.0
В спорте только девушки,2014,94.0,['комедия'],5.666,4.3,0.0,60.0,33464,447,0,5,4000000.0,2014-02-06T00:00:00.000Z,2014-02-06T00:00:00.000Z,8530244.0
Стиратель,1996,115.0,"['боевик', 'триллер', 'криминал']",6.908,6.2,5.0,0.0,33462,120527,56,0,100000000.0,1996-06-11T00:00:00.000Z,1996-06-11T00:00:00.000Z,242295562.0
Лето'85,2020,101.0,"['драма', 'мелодрама']",7.018,6.9,6.6,71.4286,33457,14597,102,7,112164013.0,2020-10-15T00:00:00.000Z,2020-07-11T00:00:00.000Z,3604180.0
Моя прекрасная леди,1964,170.0,"['мюзикл', 'драма', 'мелодрама']",8.021,7.7,8.7,0.0,33455,104132,90,0,17000000.0,1964-10-21T00:00:00.000Z,1964-10-21T00:00:00.000Z,72002771.0
Останься со мной,1986,89.0,"['драма', 'приключения', 'комедия']",7.829,8.1,8.0,0.0,33450,458772,64,1,8000000.0,1986-08-06T00:00:00.000Z,1986-08-06T00:00:00.000Z,52300700.0
Любовь зла,2001,109.0,"['фэнтези', 'драма', 'мелодрама', 'комедия']",6.964,6.0,5.5,0.0,33436,148566,134,0,40000000.0,2002-01-09T00:00:00.000Z,2001-11-01T00:00:00.000Z,141069860.0
Проклятие плачущей,2018,93.0,['ужасы'],5.344,5.3,4.5,0.0,33421,60419,188,0,9000000.0,2019-04-18T00:00:00.000Z,2019-03-15T00:00:00.000Z,123233739.0
