name,type,year,movieLength,genres,rating.kp,rating.imdb,rating.filmCritics,rating.russianFilmCritics,rating.await,votes.kp,votes.imdb,votes.filmCritics,votes.russianFilmCritics,votes.await,budget.currency,budget.value,premiere.country,premiere.digital,premiere.cinema,premiere.bluray,premiere.dvd,premiere.russia,premiere.world,fees.russia.value,fees.russia.currency,fees.usa.value,fees.usa.currency,fees.world.value,fees.world.currency,distributors.distributor,distributors.distributorRelease,fees.russia,fees.usa,fees.world
Я тоже хочу,movie,2012,89.0,"[{'name': 'драма'}, {'name': 'криминал'}]",6.584,6.4,0.0,86.9565,,61937,2356,0,23,0,,,,,,2013-01-29T00:00:00.000Z,2013-01-15T00:00:00.000Z,2012-12-13T00:00:00.000Z,2012-09-06T00:00:00.000Z,226114.0,$,,,190631.0,$,,,,,
Молчание,movie,2016,161.0,"[{'name': 'драма'}, {'name': 'история'}]",7.144,7.2,7.6,94.7368,,61911,126578,287,19,0,$,46000000.0,,2017-05-08T00:00:00.000Z,,,,2017-01-26T00:00:00.000Z,2016-11-29T00:00:00.000Z,442710.0,$,7100177.0,$,23834809.0,$,,,,,
Старики-разбойники,movie,1971,92.0,"[{'name': 'драма'}, {'name': 'комедия'}, {'name': 'криминал'}]",7.859,7.4,0.0,0.0,,61881,2236,0,0,0,,,,,,,2010-03-30T00:00:00.000Z,,1972-08-07T00:00:00.000Z,,,,,,,,Lizard Cinema Trade,,,
Маска Зорро,movie,1998,136.0,"[{'name': 'боевик'}, {'name': 'триллер'}, {'name': 'мелодрама'}, {'name': 'комедия'}, {'name': 'приключения'}, {'name': 'вестерн'}]",7.523,6.8,7.2,0.0,,61863,202564,77,0,0,$,95000000.0,,,,2010-02-11T00:00:00.000Z,1999-01-21T00:00:00.000Z,1998-10-10T00:00:00.000Z,1998-07-10T00:00:00.000Z,,,94095523.0,$,250288523.0,$,Каскад фильм,Columbia/Sony,,,
Проклятие ведьмы,movie,2020,110.0,"[{'name': 'драма'}, {'name': 'ужасы'}]",6.237,4.8,3.7,0.0,,61801,3994,54,2,0,,,,2021-02-05T00:00:00.000Z,,,,,2020-08-20T00:00:00.000Z,,,143532.0,$,596806.0,$,,,,,
Флэш,movie,2023,144.0,"[{'name': 'фантастика'}, {'name': 'фэнтези'}, {'name': 'боевик'}, {'name': 'приключения'}]",6.447,6.6,6.3,42.8571,,61761,229587,389,7,0,$,200000000.0,,,,,,,2023-06-14T00:00:00.000Z,,,108133313.0,$,271433313.0,$,Каро-Премьер,,,,
Чёрный клановец,movie,2018,135.0,"[{'name': 'драма'}, {'name': 'комедия'}, {'name': 'криминал'}, {'name': 'биография'}]",6.754,7.5,8.3,66.6667,,61744,299657,446,9,0,$,15000000.0,,2018-10-29T00:00:00.000Z,,,,2018-10-04T00:00:00.000Z,2018-05-14T00:00:00.000Z,207060.0,$,49275340.0,$,93400823.0,$,UPI,,,,
Патерсон,movie,2016,118.0,"[{'name': 'драма'}, {'name': 'мелодрама'}, {'name': 'комедия'}]",7.236,7.3,8.5,85.7143,,61658,91522,263,21,0,,,,2017-03-21T00:00:00.000Z,,,,2017-02-16T00:00:00.000Z,2016-05-16T00:00:00.000Z,442443.0,$,2152738.0,$,9572362.0,$,,,,,
Тополиный пух,movie,2023,86.0,[{'name': 'комедия'}],6.696,5.3,0.0,0.0,,61623,127,0,2,0,,,,,,,,2024-08-01T00:00:00.000Z,,699964.0,$,,,,,,,,,
"Угадай, кто?",movie,2005,105.0,"[{'name': 'мелодрама'}, {'name': 'комедия'}]",7.05,5.9,5.4,0.0,,61611,46816,148,1,0,$,35000000.0,,,,,2005-12-27T00:00:00.000Z,2005-06-23T00:00:00.000Z,2005-03-25T00:00:00.000Z,757000.0,$,68915888.0,$,101866030.0,$,Гемини Киномир,Гемини-Фильм,,,
Жанна д'Арк,movie,1999,160.0,"[{'name': 'биография'}, {'name': 'военный'}, {'name': 'драма'}, {'name': 'история'}]",7.255,6.4,4.5,0.0,,61587,70915,75,0,0,$,85000000.0,,2023-07-10T00:00:00.000Z,,2009-02-21T00:00:00.000Z,2004-04-13T00:00:00.000Z,2000-02-10T00:00:00.000Z,1999-10-18T00:00:00.000Z,,,14276317.0,$,66976317.0,$,,,,,
Этому быть!,movie,2021,92.0,"[{'name': 'драма'}, {'name': 'комедия'}]",7.904,7.0,0.0,0.0,,61567,1818,0,0,0,,,,2022-11-22T00:00:00.000Z,,,,2022-05-12T00:00:00.000Z,2021-08-26T00:00:00.000Z,33369.0,$,,,3920298.0,$,,,,,
Три,movie,2020,101.0,"[{'name': 'детектив'}, {'name': 'триллер'}, {'name': 'криминал'}]",6.369,5.8,0.0,0.0,,61538,97,0,0,0,,,,2022-06-01T00:00:00.000Z,,,,,2020-10-25T00:00:00.000Z,,,,,,,,,,,
Спящие,movie,1996,147.0,"[{'name': 'драма'}, {'name': 'криминал'}, {'name': 'триллер'}]",7.861,7.5,6.6,0.0,,61531,243579,56,0,0,$,44000000.0,,,,2011-03-22T00:00:00.000Z,,,1996-08-28T00:00:00.000Z,,,53315285.0,$,165615285.0,$,,Юниверсал Пикчерс Рус,,,
